ID,CC,NL,WMC,CBOI,NOI,AD,CD,CLOC,PUA,NA,NG,NLG,NS,TNM,bug
L135731,0.0,0,5,2,3,0.0,0.0,0,5,4,5,3,0,9,0
L135770,0.247863,4,19,1,24,0.125,0.06451609999999999,6,7,17,0,0,1,27,0
L135808,0.0,1,10,5,29,0.14285699999999998,0.06451609999999999,4,6,9,3,0,0,28,1
L135812,0.0,0,1,0,1,0.0,0.0,0,2,0,0,0,0,1,1
L135825,0.0,0,5,2,3,0.0,0.041666699999999994,1,5,4,5,3,0,9,1
L135853,0.0,6,41,3,26,0.125,0.1,16,7,18,0,0,1,65,1
L135901,0.0,0,2,0,3,0.0,0.0,0,3,1,0,0,0,2,0
L135907,0.0,0,2,0,3,0.0,0.0,0,3,1,0,0,0,2,0
L135925,0.0,0,1,0,1,0.0,0.0,0,2,0,0,0,0,1,0
L135932,0.0,3,10,1,20,0.2,0.09433960000000001,5,4,22,0,0,2,32,0
L125416,0.0,0,2,29,0,0.5,0.428571,3,1,0,5,1,0,6,0
L135543,0.0,0,7,8,1,1.0,0.680851,32,0,1,0,0,0,6,0
L136049,0.0,3,20,3,16,0.5,0.11363599999999999,10,1,13,0,0,0,14,0
L132064,0.23423400000000005,2,22,15,8,0.833333,0.304965,43,2,19,0,0,0,28,0
L132128,0.169123,15,73,1,37,0.333333,0.0542986,12,2,0,0,0,0,3,1
L135443,0.0,0,7,6,16,0.14285699999999998,0.08888889999999999,4,6,11,3,0,0,19,1
L136209,0.0,0,1,0,1,0.0,0.0,0,2,0,0,0,0,1,1
L136077,0.0,0,6,1,2,0.14285699999999998,0.0909091,3,6,11,0,0,1,19,0
L135454,0.0,0,2,6,0,0.0,0.08333330000000001,1,2,1,0,0,0,2,0
L135864,0.0,1,8,4,0,1.0,0.394737,15,0,3,0,0,0,2,0
L138175,0.0,1,19,6,19,0.055555600000000004,0.14285699999999998,8,17,37,9,0,3,94,0
L138195,0.965672,0,15,0,24,0.0625,0.0157895,3,15,37,9,0,3,94,0
L138218,0.9479190000000001,2,21,0,37,0.0625,0.00949367,3,15,37,9,0,3,97,0
L138251,0.9985219999999999,0,15,0,24,0.0625,0.015872999999999998,3,15,37,9,0,3,94,0
L134212,0.0,0,2,17,2,1.0,0.363636,4,0,3,1,0,0,36,0
L134221,0.0,0,3,2,2,0.0,0.0,0,2,3,1,0,0,13,0
L134216,0.0,0,3,5,2,0.0,0.0,0,2,3,1,0,0,13,0
L137414,0.0,0,3,2,3,0.333333,0.2,3,2,3,0,0,0,4,0
L135608,0.0,0,1,13,1,1.0,0.375,3,0,8,0,0,1,62,0
L135611,0.0,0,3,5,1,0.0,0.0,0,3,8,0,0,1,22,0
L135655,0.0,0,2,6,1,0.0,0.0,0,2,8,0,0,1,21,0
L138269,0.9868239999999999,0,16,0,24,0.0588235,0.019802,4,16,37,9,0,3,95,0
L138288,0.908494,2,18,0,34,0.0625,0.010909100000000001,3,15,37,9,0,3,95,0
L138310,0.835743,0,15,0,24,0.0625,0.015872999999999998,3,15,37,9,0,3,94,0
L138328,0.6604939999999999,1,7,0,32,0.14285699999999998,0.039473699999999994,3,6,37,9,0,3,83,0
L137235,0.0,1,14,27,4,0.166667,0.050847500000000004,3,5,7,0,0,0,10,0
L137247,0.2,6,18,6,18,0.5,0.0454545,3,1,0,0,0,0,4,1
L137173,0.0,1,13,2,16,0.11111099999999999,0.0526316,3,8,12,0,0,1,38,0
L137208,0.0,0,3,1,2,0.0,0.0,0,2,5,0,0,0,15,0
L131946,0.0,0,1,1,2,0.5,0.375,3,1,7,0,0,0,11,0
L132098,0.0,0,2,1,2,0.5,0.230769,3,1,0,0,0,0,4,0
L137202,0.0,2,16,5,18,0.1,0.055555600000000004,4,9,7,2,1,0,18,1
L137265,0.0,0,1,0,1,0.0,0.0,0,2,0,0,0,0,1,0
L137310,0.506993,2,17,6,16,0.1,0.056338,4,9,6,2,1,0,18,1
L137314,0.0,0,1,0,1,0.0,0.0,0,2,0,0,0,0,1,0
L137344,0.0,1,13,2,13,0.11111099999999999,0.050847500000000004,3,8,11,0,0,1,38,0
L137370,0.0,0,3,1,3,0.0,0.0,0,2,5,0,0,0,15,0
L131953,0.0,0,1,1,2,0.5,0.375,3,1,7,0,0,0,11,0
L132107,0.0,0,2,1,2,0.5,0.230769,3,1,0,0,0,0,4,0
L137461,0.506993,2,17,6,16,0.1,0.056338,4,9,6,2,1,0,18,1
L137465,0.0,0,1,0,1,0.0,0.0,0,2,0,0,0,0,1,0
L137495,0.0,1,13,2,13,0.11111099999999999,0.0526316,3,8,11,0,0,1,38,0
L137521,0.0,0,3,1,3,0.0,0.0,0,2,5,0,0,0,15,0
L131960,0.0,0,1,1,2,0.5,0.375,3,1,7,0,0,0,11,0
L132104,0.0,0,3,1,2,0.5,0.17647100000000002,3,1,0,0,0,0,5,0
L137672,0.0,3,35,7,19,0.0666667,0.0296296,4,14,9,6,5,0,27,1
L137752,0.0,0,1,0,1,0.0,0.0,0,2,0,0,0,0,1,0
L137817,0.0,0,0,1,0,0.0,0.0,0,1,9,0,0,0,0,0
L137850,0.0,1,25,2,21,0.1,0.03125,3,9,14,0,0,1,39,0
L137885,0.0,0,3,1,3,0.0,0.0,0,2,5,0,0,0,15,0
L131974,0.0,0,1,1,2,0.5,0.375,3,1,7,0,0,0,11,0
L132110,0.0,0,2,1,2,0.5,0.230769,3,1,0,0,0,0,4,0
L137573,0.0,1,32,2,21,0.1,0.027027,3,9,15,0,0,1,40,0
L137637,0.0,0,3,1,3,0.0,0.0,0,2,5,0,0,0,15,0
L131981,0.0,0,1,1,2,0.5,0.375,3,1,7,0,0,0,11,0
L132113,0.0,0,2,1,2,0.5,0.230769,3,1,0,0,0,0,4,0
L137630,0.0,1,20,6,11,0.11111099999999999,0.056338,4,8,12,9,3,0,39,0
L137676,0.0,0,1,0,1,0.0,0.0,0,2,0,0,0,0,1,0
L137732,0.0,0,0,1,0,0.0,0.0,0,1,6,0,0,0,0,0
L137925,0.0,2,15,6,16,0.11111099999999999,0.057142899999999996,4,8,6,2,1,0,18,1
L137929,0.0,0,1,0,1,0.0,0.0,0,2,0,0,0,0,1,0
L137959,0.0,1,12,2,11,0.11111099999999999,0.0566038,3,8,11,0,0,1,38,0
L137985,0.0,0,3,1,3,0.0,0.0,0,2,5,0,0,0,15,0
L131967,0.0,0,1,1,2,0.5,0.375,3,1,7,0,0,0,11,0
L132101,0.0,0,2,1,2,0.5,0.230769,3,1,0,0,0,0,4,0
L138025,0.0,2,13,6,12,0.1,0.06451609999999999,4,9,6,2,1,0,16,1
L138029,0.0,0,1,0,1,0.0,0.0,0,2,0,0,0,0,1,0
L138060,0.0,1,11,2,11,0.11111099999999999,0.148148,8,8,11,0,0,1,38,0
L138090,0.0,0,3,1,3,0.0,0.0,0,2,5,0,0,0,15,0
L131939,0.0,1,4,3,3,0.333333,0.157895,3,2,4,0,0,0,6,0
L132116,0.7512439999999999,4,8,1,13,0.333333,0.075,3,2,0,0,0,0,2,1
L125213,0.0,2,48,52,30,0.166667,0.047368400000000005,9,10,6,0,0,4,18,1
L133051,0.0,0,3,14,0,0.75,0.4814810000000001,13,1,2,0,0,0,3,0
L133094,0.167687,0,3,18,0,0.5,0.545455,6,2,0,0,0,1,160,1
L138471,0.117647,0,0,7,0,0.0,0.0,0,1,0,0,0,1,43,1
L138474,0.0,1,7,1,2,0.0,0.0,0,6,5,0,0,3,6,0
L138498,0.0,0,3,1,1,0.0,0.0,0,4,1,0,0,1,4,0
L138488,0.230483,2,8,1,9,0.0,0.0344828,1,5,3,0,0,2,21,1
L138692,0.0,1,7,2,4,0.0,0.0,0,6,10,3,1,2,16,1
L138468,0.0,0,1,3,0,0.0,0.0,0,2,0,0,0,1,9,0
L138463,0.0,1,7,1,2,0.0,0.0,0,6,5,0,0,3,6,0
L138505,0.0,1,10,2,3,0.0,0.0,0,7,6,0,0,3,7,0
L133131,0.0,1,10,22,6,0.0,0.0,0,7,4,0,0,0,16,0
L138608,0.0,0,6,5,2,0.0,0.0,0,5,1,0,0,0,6,0
L133091,0.269231,0,3,12,0,0.75,0.375,3,1,0,0,0,1,79,0
L138447,0.0,1,14,1,8,0.0,0.0,0,9,7,0,0,3,9,0
L138430,0.0,0,7,1,4,0.0,0.0,0,7,4,0,0,1,7,0
L133108,0.525939,2,19,3,18,0.0,0.0169492,1,8,5,0,0,2,36,0
L138849,0.375,1,5,2,4,0.0,0.0,0,4,8,3,1,2,14,0
L138886,0.0,0,2,0,0,0.0,0.0,0,1,0,0,0,0,2,0
L138843,0.36,1,5,2,4,0.0,0.0,0,4,8,3,1,2,14,0
L138861,0.0,0,2,0,0,0.0,0.0,0,1,0,0,0,0,2,0
L138452,0.0,0,6,1,3,0.0,0.0322581,1,7,3,0,0,1,21,0
L138730,0.0,0,3,1,6,0.0,0.0,0,4,5,1,0,1,7,0
L138726,0.0,0,3,1,6,0.0,0.0,0,4,5,1,0,1,7,0
L138479,0.0,0,3,2,1,0.25,0.0666667,1,3,1,0,0,1,12,1
L138734,0.0,0,3,2,6,0.0,0.0,0,4,7,1,0,1,8,1
L133057,0.0,4,17,14,9,0.25,0.0666667,3,3,5,0,0,0,26,0
L137210,0.0,0,2,7,2,0.0,0.0,0,2,5,0,0,0,14,0
L133028,0.0,0,19,34,0,0.055555600000000004,0.04,3,17,10,0,0,0,17,0
L135940,0.0,0,3,8,2,0.25,0.17647100000000002,3,3,1,0,0,0,8,0
L135937,0.0,0,2,3,2,0.0,0.0,0,3,2,0,0,0,5,0
L138535,0.0,1,7,3,3,0.2,0.10416700000000001,5,4,8,1,0,1,12,1
L138554,0.0,0,3,0,0,0.0,0.0,0,4,1,0,0,0,3,0
L133029,0.0,0,4,7,3,0.2,0.15,3,4,1,0,0,0,4,0
L132898,0.0,0,8,36,5,0.11111099999999999,0.08333330000000001,3,8,3,0,0,0,8,0
L138801,0.298319,5,10,1,4,0.2,0.07017539999999999,4,4,8,1,0,1,8,1
L138805,0.29707100000000003,5,10,1,4,0.2,0.07017539999999999,4,4,8,1,0,1,8,1
L133500,0.0,0,8,4,5,0.125,0.11428599999999994,4,7,5,0,0,0,8,0
L139012,0.0,0,5,1,1,0.0,0.0,0,6,3,0,0,0,5,0
L133741,0.0,0,4,4,0,0.0,0.0625,1,3,3,0,0,0,16,0
L133736,0.0,0,5,3,4,0.0,0.041666699999999994,1,5,6,0,0,0,9,0
L139009,0.0,0,5,1,0,0.0,0.0,0,6,3,0,0,0,5,0
L139096,0.0,1,10,9,10,0.2,0.0882353,3,4,0,0,0,0,4,0
L133511,0.0,0,4,3,4,0.2,0.14285699999999998,3,4,3,0,0,0,4,0
L139122,0.0,0,4,0,2,0.2,0.15,3,4,2,0,0,0,4,0
L139114,0.0,0,3,0,1,0.333333,0.2,3,2,1,0,0,0,3,0
L153950,0.0,3,10,0,30,0.2,0.157143,11,4,37,9,0,3,82,0
L153961,0.0,4,11,0,31,0.0,0.0,0,3,37,9,0,3,81,0
L153970,0.0,2,3,0,8,0.0,0.0,0,2,0,0,0,0,1,0
L153972,0.429583,3,28,1,46,0.0,0.0687831,13,3,39,9,0,3,88,0
L153982,0.0,0,2,1,2,0.0,0.0,0,2,2,2,0,0,9,0
L153990,0.0,2,18,1,3,0.0,0.0,0,4,3,0,0,0,4,0
L154015,0.383333,2,9,0,47,0.5,0.0675676,5,1,37,9,0,3,80,0
L154031,0.614672,1,34,0,72,0.07692310000000001,0.0754717,24,12,37,9,0,3,92,0
L31358,0.125865,5,146,14,56,0.880597,0.309343,245,8,28,0,0,0,76,1
L139375,0.0,0,7,1,0,0.0,0.0,0,4,3,0,0,0,5,0
L139368,0.0,0,5,1,0,0.0,0.0,0,5,4,0,0,0,5,0
L32671,0.0,0,2,22,2,0.333333,0.272727,3,2,0,3,0,0,10,0
L154066,0.448592,2,85,0,181,0.025,0.033847699999999994,68,39,37,9,0,3,123,0
L154144,0.0,2,3,0,10,0.0,0.0,0,2,0,0,0,0,1,0
L154176,0.0,1,8,0,38,0.5,0.08,4,1,37,9,0,3,80,0
L139633,0.0,2,4,1,0,0.5,0.157895,3,1,0,0,0,0,2,0
L34841,0.057838699999999986,6,81,20,47,0.28571399999999997,0.1,35,5,7,0,0,0,15,1
L139645,0.0,1,2,0,0,0.0,0.0,0,2,0,0,0,0,1,1
L139687,0.0,4,15,1,1,1.0,0.443299,43,0,2,1,1,1,4,0
L154192,0.887599,1,14,0,81,0.0909091,0.053653,47,10,37,9,0,3,87,0
L34956,0.0,2,11,5,13,0.0,0.0,0,8,3,0,0,0,8,0
L139799,0.0,1,17,2,3,0.11111099999999999,0.11538499999999999,9,8,2,0,0,0,14,0
L139864,0.135266,3,10,2,13,0.25,0.09433960000000001,5,3,1,0,0,0,12,1
L139868,0.0,0,1,0,0,0.0,0.0,0,1,0,0,0,0,1,0
L139883,0.482759,1,6,1,0,0.2,0.0344828,1,4,1,0,0,0,8,0
L139913,1.0,0,3,0,0,0.0,0.0,0,4,0,0,0,0,3,0
L139894,0.0,0,1,1,1,0.5,0.375,3,1,1,3,0,0,15,0
L34930,0.0,2,33,17,15,0.125,0.0697674,12,21,9,2,0,0,28,0
L145539,0.0,1,9,7,2,0.0,0.0,0,6,2,0,0,0,8,0
L145578,0.0,1,2,0,1,0.0,0.0,0,2,0,0,0,0,1,0
L140596,0.716667,1,5,28,2,0.25,0.125,3,3,2,0,0,0,4,0
L145607,0.027814599999999995,4,47,3,43,0.333333,0.00819672,2,2,41,10,1,3,88,0
L145663,0.0,1,3,2,2,0.0,0.0,0,2,0,0,0,0,1,0
L145666,0.0,0,1,1,1,0.0,0.0,0,2,0,0,0,0,1,0
L145669,0.0,0,1,2,1,0.0,0.0,0,2,0,0,0,0,1,0
L145672,0.0,0,1,1,1,0.0,0.0,0,2,0,0,0,0,1,0
L145696,0.0,0,2,0,0,1.0,0.166667,2,0,41,10,0,3,86,0
L140674,0.814815,1,2,1,7,0.333333,0.190476,4,2,1,0,0,0,4,0
L32252,0.296053,1,10,20,5,0.6,0.196078,10,2,6,0,0,0,10,0
L140700,0.0,0,1,0,0,0.0,0.0,0,2,2,0,0,0,1,0
L140705,0.0,0,1,0,0,0.0,0.0,0,2,2,0,0,0,1,0
L140730,0.0,0,14,19,14,0.0666667,0.0638298,3,14,0,0,0,0,14,0
L140024,0.0,0,3,76,1,1.0,0.730769,19,0,0,0,0,0,12,0
L140068,0.0,0,3,31,0,0.25,0.266667,4,3,0,0,0,1,4,0
L140818,0.0,0,1,8,0,0.5,0.5,3,1,0,0,0,0,5,0
L140844,0.0,2,4,1,1,0.333333,0.136364,3,2,1,0,0,0,2,0
L140826,0.0,2,4,2,3,0.333333,0.148148,4,2,2,0,0,0,2,0
L140879,0.4,1,4,1,6,0.333333,0.1,3,2,2,4,0,0,25,0
L140676,0.0,12,28,3,20,0.333333,0.173469,17,2,1,0,0,0,2,0
L140681,0.736842,2,4,3,4,0.333333,0.157895,3,2,1,0,0,0,2,0
L124858,0.0,6,38,3,34,0.2,0.09803919999999999,15,4,2,0,0,0,4,0
L140310,0.0,0,2,6,2,0.333333,0.272727,3,2,0,3,0,0,10,0
L125155,0.0,0,7,53,2,0.166667,0.214286,6,5,2,2,1,0,15,0
L125158,0.0,0,3,18,0,0.0,0.0,0,4,2,0,0,0,3,0
L142267,0.0,1,3,16,3,0.0,0.0,0,3,1,0,0,0,2,0
L32320,0.0,2,19,12,13,0.6153850000000001,0.230769,24,5,3,1,1,0,13,0
L142313,0.0,0,0,1,0,0.0,0.0,0,1,1,0,0,0,0,0
L140089,0.716667,1,5,10,2,0.25,0.125,3,3,2,0,0,0,4,0
L112794,0.0,2,6,7,0,0.6,0.272727,9,2,3,0,0,0,10,0
L125208,0.0,0,6,4,0,0.0,0.0,0,7,5,4,4,0,6,0
L145704,0.40927199999999997,3,108,0,193,0.035714300000000004,0.0221861,41,27,38,9,0,3,115,0
L145734,0.819149,2,3,0,8,0.0,0.0,0,2,0,0,0,0,1,0
L145744,0.0,1,2,0,11,0.0,0.0333333,1,2,1,0,0,0,1,0
L145750,0.855556,2,3,0,8,0.0,0.0,0,2,0,0,0,0,1,0
L145756,0.0,1,6,0,14,0.0,0.0,0,2,1,0,0,0,1,0
L145764,0.0,2,4,0,8,0.0,0.0,0,2,0,0,0,0,1,0
L145770,0.0,1,8,0,14,0.0,0.0,0,2,1,0,0,0,1,0
L145535,0.0,0,1,1,9,1.0,0.17647100000000002,3,0,1,4,0,0,23,0
L140022,0.389558,2,5,2,6,0.25,0.11428599999999994,4,3,4,0,0,0,17,0
L140050,0.0,0,4,1,4,0.0,0.0,0,5,2,0,0,2,7,0
L140073,0.0,0,3,1,1,0.0,0.0,0,4,4,0,0,0,6,0
L140125,0.982143,2,6,0,0,0.0,0.0625,1,2,0,0,0,0,1,0
L140133,0.982143,2,6,0,0,0.0,0.0625,1,2,0,0,0,0,1,0
L140141,0.982143,2,6,0,0,0.0,0.0625,1,2,0,0,0,0,1,0
L140183,0.0933063,2,33,3,13,0.8,0.315789,66,4,19,0,0,0,25,0
L140282,0.22106399999999998,18,48,1,30,0.166667,0.036809800000000004,6,5,4,0,0,0,14,0
L140061,0.537438,2,19,2,35,0.0909091,0.029702999999999997,3,10,7,3,1,0,29,0
L140345,0.0,0,1,0,0,0.0,0.0,0,2,0,0,0,0,1,0
L140057,0.0,0,8,2,0,0.11111099999999999,0.07692310000000001,3,8,2,7,7,0,8,0
L140398,0.0,0,0,1,0,0.0,0.0,0,1,4,0,0,0,0,0
L140332,0.0,0,4,4,4,0.333333,0.166667,3,2,3,3,1,0,13,0
L140434,0.618056,4,23,5,41,0.0909091,0.0526316,7,10,7,3,1,0,30,0
L140440,0.0,0,1,0,0,0.0,0.0,0,2,0,0,0,0,1,0
L140502,0.0,0,0,1,0,0.0,0.0,0,1,9,0,0,0,0,0
L140447,0.0,1,9,6,0,0.11111099999999999,0.06,3,8,6,7,7,0,8,0
L140320,0.355615,2,5,2,5,0.25,0.08571430000000001,3,3,5,0,0,0,20,0
L140554,0.0,0,4,1,4,0.0,0.0,0,5,2,0,0,2,7,0
L140563,0.295302,1,3,1,3,0.0,0.0,0,3,6,0,0,0,9,0
L140581,0.88,1,3,1,0,0.0,0.0,0,2,3,0,0,0,4,0
L140315,0.47945200000000004,2,5,2,5,0.25,0.11111099999999999,4,3,5,0,0,0,17,0
L140622,0.0,0,5,1,6,0.0,0.0,0,6,2,0,0,3,8,0
L140630,0.6323529999999999,2,5,1,4,0.0,0.0,0,3,5,0,0,0,5,0
L140746,0.48623900000000003,1,7,3,8,0.428571,0.22222199999999998,10,4,7,0,0,0,12,0
L141085,0.406091,0,4,3,1,0.2,0.136364,3,4,2,0,0,0,12,0
L141093,0.0,1,4,1,1,0.0,0.0,0,4,2,0,0,2,6,0
L141099,0.9523809999999999,2,5,1,2,0.0,0.0,0,2,0,0,0,0,1,0
L140890,0.0,0,6,1,6,0.166667,0.11111099999999999,3,5,3,0,0,0,12,0
L141106,0.22707399999999997,1,13,3,15,0.181818,0.0895522,6,9,6,3,2,0,17,0
L141146,0.0,0,1,0,0,0.0,0.0,0,2,0,0,0,0,1,0
L141164,0.0,0,0,1,0,0.0,0.0,0,1,2,0,0,0,0,0
L141192,0.0,1,11,11,0,0.1,0.11111099999999999,6,9,8,8,8,0,10,0
L140811,0.31015,2,32,2,15,0.9,0.326829,67,2,17,0,0,0,26,0
L141253,0.0,0,1,1,0,0.0,0.0,0,1,2,0,0,0,1,0
L141336,0.14377,0,3,8,4,0.25,0.1,3,3,7,0,0,0,14,0
L141367,0.29220799999999997,3,10,4,7,0.0,0.0,0,3,2,0,0,0,3,0
L141362,0.0,1,5,3,2,0.0,0.0,0,4,2,0,0,2,7,0
L140896,0.10416700000000001,11,35,1,25,0.166667,0.0737705,9,5,3,0,0,0,12,1
L141374,0.145313,3,22,3,29,0.08333330000000001,0.027272700000000004,3,11,6,3,2,0,18,0
L141438,0.0,0,1,0,0,0.0,0.0,0,2,0,0,0,0,1,0
L141466,0.0,0,0,1,0,0.0,0.0,0,1,10,0,0,0,0,0
L141425,0.0,0,2,2,6,0.333333,0.1875,3,2,8,0,0,0,22,0
L141511,0.0,0,4,1,7,0.0,0.0,0,4,3,0,0,4,11,0
L141516,0.0,1,4,2,1,0.0,0.0,0,2,3,0,0,0,5,0
L141420,0.0,0,2,2,3,0.333333,0.2,3,2,8,0,0,0,20,0
L141558,0.0,2,5,2,3,0.0,0.0,0,2,3,0,0,0,5,0
L141553,0.0,0,2,1,3,0.0,0.0,0,2,2,0,0,3,9,0
L141588,0.364662,2,6,3,7,0.2,0.10526300000000001,4,4,4,0,0,0,18,0
L141610,0.0,0,4,1,4,0.0,0.0,0,5,2,0,0,2,7,0
L141632,0.0,0,3,1,1,0.0,0.0,0,4,4,0,0,0,6,0
L141656,0.24169200000000002,2,6,4,6,0.2,0.11111099999999999,4,4,4,0,0,0,17,0
L141678,0.0,0,4,1,4,0.0,0.0,0,4,2,0,0,2,7,0
L141697,0.695652,2,5,1,2,0.0,0.0,0,3,4,0,0,0,5,0
L141753,0.982143,2,6,0,0,0.0,0.0625,1,2,0,0,0,0,1,0
L141761,0.982143,2,6,0,0,0.0,0.0625,1,2,0,0,0,0,1,0
L141769,0.982143,2,6,0,0,0.0,0.0625,1,2,0,0,0,0,1,0
L140780,0.0,1,15,3,9,0.833333,0.35514,38,2,10,0,0,0,17,0
L140899,0.0,13,35,1,20,0.166667,0.041666699999999994,4,5,3,0,0,0,12,0
L140790,0.0,2,22,2,10,0.307692,0.13592200000000002,14,9,13,0,0,0,18,0
L141621,0.535655,2,19,2,35,0.0909091,0.0392157,4,10,7,3,1,0,29,0
L141941,0.0,0,1,0,0,0.0,0.0,0,2,0,0,0,0,1,0
L141617,0.0,0,8,2,0,0.11111099999999999,0.07692310000000001,3,8,2,7,7,0,8,0
L141986,0.0,0,0,1,0,0.0,0.0,0,1,4,0,0,0,0,0
L141665,0.649593,4,23,9,41,0.0909091,0.0526316,7,10,7,3,1,0,30,0
L142016,0.0,0,1,0,0,0.0,0.0,0,2,0,0,0,0,1,0
L142055,0.0,0,0,1,0,0.0,0.0,0,1,9,0,0,0,0,0
L141662,0.0,0,8,10,0,0.11111099999999999,0.0638298,3,8,6,7,7,0,8,0
L141933,0.0,0,4,4,4,0.333333,0.166667,3,2,3,3,1,0,13,0
L141868,0.44191899999999995,2,7,2,9,0.2,0.07894739999999999,3,4,5,0,0,0,13,0
L142113,0.45502600000000004,2,9,1,7,0.0,0.0,0,5,1,0,0,3,8,0
L141884,0.351852,2,5,2,6,0.25,0.08571430000000001,3,3,5,0,0,0,20,0
L142151,0.0,0,4,1,4,0.0,0.0,0,5,2,0,0,2,7,0
L142159,0.293333,1,3,1,3,0.0,0.0,0,3,6,0,0,0,9,0
L142177,0.88,1,3,1,0,0.0,0.0,0,2,3,0,0,0,4,0
L141873,0.444162,2,6,3,9,0.2,0.10256400000000004,4,4,5,0,0,0,18,0
L142213,0.0,0,5,1,6,0.0,0.0,0,6,2,0,0,3,8,0
L142225,0.637037,2,5,1,4,0.0,0.0,0,3,5,0,0,0,5,0
L125200,0.0,1,9,3,13,0.2,0.0465116,2,4,3,0,0,0,18,0
L125197,0.0,2,13,3,4,0.125,0.0526316,3,7,5,0,0,3,10,0
L140998,0.0,4,11,2,5,0.0,0.0377358,2,4,3,0,0,0,3,0
L142409,0.22707399999999997,1,13,3,15,0.0909091,0.046875,3,10,6,3,2,0,17,0
L142419,0.0,0,1,0,0,0.0,0.0,0,2,0,0,0,0,1,0
L142443,0.0,0,0,1,0,0.0,0.0,0,1,2,0,0,0,0,0
L140734,0.48623900000000003,1,7,4,8,0.428571,0.22222199999999998,10,4,7,0,0,0,12,0
L142478,0.27026999999999995,4,11,3,5,0.2,0.14285699999999998,7,4,3,0,0,0,13,0
L142491,0.0,1,4,1,1,0.0,0.0,0,4,2,0,0,2,6,0
L142497,0.9523809999999999,2,5,1,2,0.0,0.0,0,2,0,0,0,0,1,0
L140893,0.0,0,5,1,6,0.166667,0.11111099999999999,3,5,3,0,0,0,12,0
L142542,0.113553,4,30,5,33,0.08333330000000001,0.0266667,4,11,6,3,2,0,18,0
L142552,0.0,0,1,0,0,0.0,0.0,0,2,0,0,0,0,1,0
L142612,0.0,0,0,1,0,0.0,0.0,0,1,12,0,0,0,0,0
L142653,0.0,0,3,2,2,0.25,0.14285699999999998,3,3,3,0,0,0,16,0
L142667,0.0,1,5,1,3,0.0,0.0,0,5,2,0,0,2,7,0
L142676,0.0,3,7,1,4,0.0,0.0,0,3,4,0,0,0,5,0
L142560,0.0,1,14,12,0,0.0909091,0.10169500000000001,6,10,10,10,10,0,11,0
L140797,0.10141499999999999,3,23,2,13,0.733333,0.338028,48,4,9,0,0,0,22,0
L142719,0.0,0,2,1,0,0.0,0.0,0,1,4,0,0,0,2,0
L142783,0.0,0,3,2,2,0.25,0.157895,3,3,2,0,0,0,16,0
L142794,0.0,1,5,1,3,0.0,0.0,0,5,2,0,0,2,7,0
L142802,0.0,3,8,1,2,0.0,0.0,0,3,3,0,0,0,5,0
L140904,0.0,11,42,1,17,0.166667,0.050847500000000004,6,5,3,0,0,0,12,0
L140804,0.292225,2,21,2,13,0.538462,0.24793400000000002,30,6,11,0,0,0,19,0
L142850,0.0,0,1,1,0,0.0,0.0,0,1,2,0,0,0,1,0
L142832,0.207373,0,3,2,4,0.25,0.14285699999999998,3,3,3,0,0,0,11,0
L142914,0.31690100000000004,3,9,1,6,0.0,0.0,0,5,0,0,0,3,7,0
L142964,0.0,2,25,5,17,0.055555600000000004,0.0230769,3,17,10,10,9,0,24,0
L142974,0.0,0,1,0,0,0.0,0.0,0,2,0,0,0,0,1,0
L143021,0.0,0,0,1,0,0.0,0.0,0,1,9,0,0,0,0,0
L143053,0.0,0,3,2,4,0.25,0.136364,3,3,6,0,0,0,11,0
L143068,0.0,1,6,1,4,0.0,0.0,0,5,5,0,0,3,7,0
L140766,0.0,2,11,3,8,0.5,0.213115,13,4,8,0,0,0,13,0
L143137,0.158996,0,3,2,1,0.25,0.130435,3,3,7,0,0,0,18,0
L143151,0.0,0,3,1,2,0.0,0.0,0,4,2,0,0,2,6,0
L143164,0.475,1,7,1,0,0.0,0.0,0,6,8,0,0,0,8,0
L140907,0.0,8,25,1,16,0.166667,0.0344828,3,5,3,0,0,0,12,0
L143208,0.14902,0,3,2,2,0.25,0.130435,3,3,7,0,0,0,15,0
L143231,0.0,1,6,1,2,0.0,0.0,0,5,2,0,0,2,7,0
L143244,0.633333,1,3,1,0,0.0,0.0,0,2,8,0,0,0,4,0
L140773,0.0,1,12,2,8,0.44444399999999995,0.19403,13,5,9,0,0,0,14,0
L143315,0.0,0,4,5,5,0.333333,0.157895,3,2,3,6,1,0,16,0
L144570,0.867245,1,26,0,42,0.08333330000000001,0.12084600000000001,40,11,37,9,0,3,91,0
L144364,0.0,2,3,0,0,0.0,0.0,0,2,0,0,0,0,1,0
L144371,0.0,0,1,0,0,0.0,0.0,0,2,0,0,0,0,1,0
L144379,0.0,0,1,0,0,0.0,0.0,0,2,0,0,0,0,1,0
L144386,0.0,0,1,0,0,0.0,0.0,0,2,0,0,0,0,1,0
L99647,0.10769200000000001,2,37,15,15,0.95,0.325581,70,1,19,0,0,0,25,0
L140910,0.0,16,51,1,34,0.166667,0.044586,7,5,4,0,0,0,12,1
L144602,0.563596,1,12,0,46,0.666667,0.06688960000000001,20,2,37,9,0,3,83,0
L143313,0.590508,2,32,3,40,0.07142860000000001,0.030302999999999997,5,13,10,6,4,0,30,0
L143323,0.0,0,1,0,0,0.0,0.0,0,2,0,0,0,0,1,0
L143330,0.567308,2,8,2,2,0.0,0.0,0,6,2,3,3,0,5,0
